序号,等级,词语,拼音,词性
1785,4,午餐,wǔcān,名
1786,4,误会,wùhuì,动、名
1787,4,吸,xī,动
1788,4,西部,xībù,名
1789,4,西红柿,xīhóngshì,名
1790,4,吸引,xīyǐn,动
1791,4,细,xì,形
1792,4,细心,xìxīn,形
1793,4,下降,xiàjiàng,动
1794,4,鲜,xiān,形
1795,4,鲜花,xiānhuā,名
1796,4,咸,xián,形
1797,4,现金,xiànjīn,名
1798,4,羡慕,xiànmù,动
1799,4,线上,xiànshàng,名
1800,4,线下,xiànxià,名
1801,4,现有,xiànyǒu,动、形
1802,4,香,xiāng,形
1803,4,相比,xiāngbǐ,动
1804,4,相反,xiāngfǎn,形、连
1805,4,相互,xiānghù,副
1806,4,相同,xiāngtóng,形
1807,4,详细,xiángxì,形
1808,4,响,xiǎng,动、形
1809,4,想法,xiǎngfǎ,名
1810,4,项,xiàng,量
1811,4,消息,xiāoxi,名
1812,4,小吃,xiǎochī,名
1813,4,小伙子,xiǎohuǒzi,名
1814,4,小说,xiǎoshuō,名
1815,4,小组,xiǎozǔ,名
1816,4,效果,xiàoguǒ,名
1817,4,笑话,xiàohua,名、动
1818,4,血,xiě,名
1819,4,心,xīn,名
1820,4,辛苦,xīnkǔ,形、动
1821,4,心情,xīnqíng,名
1822,4,信号,xìnhào,名
1823,4,信息,xìnxī,名
1824,4,信心,xìnxīn,名
1825,4,兴奋,xīngfèn,形、动
1826,4,星星,xīngxing,名
1827,4,醒,xǐng,动
1828,4,性,xìng,后缀
1829,4,性别,xìngbié,名
1830,4,幸福,xìngfú,名、形
1831,4,性格,xìnggé,名
1832,4,兄弟,xiōngdì,名
1833,4,熊,xióng,名
1834,4,修,xiū,动
1835,4,修理,xiūlǐ,动
1836,4,许多,xǔduō,数
1837,4,学费,xuéfèi,名
1838,4,学院,xuéyuàn,名
1839,4,压,yā,动
1840,4,压力,yālì,名
1841,4,牙膏,yágāo,名
1842,4,亚洲,Yàzhōu,名
1843,4,烟,yān,名
1844,4,盐,yán,名
1845,4,严格,yángé,形、动
1846,4,研究,yánjiū,动
1847,4,研究生,yánjiūshēng,名
1848,4,严重,yánzhòng,形
1849,4,演,yǎn,动
1850,4,演唱,yǎnchàng,动
1851,4,演出,yǎnchū,动
1852,4,眼镜,yǎnjìng,名
1853,4,眼前,yǎnqián,名
1854,4,演员,yǎnyuán,名
1855,4,阳光,yángguāng,名
1856,4,养成,yǎngchéng,动
1857,4,样子,yàngzi,名
1858,4,邀请,yāoqǐng,动
1859,4,要是,yàoshi,连
1860,4,钥匙,yàoshi,名
1861,4,也许,yěxǔ,副
1862,4,夜,yè,名、量
1863,4,夜晚,yèwǎn,名
1864,4,叶子,yèzi,名
1865,4,一切,yíqiè,代
1866,4,已,yǐ,副
1867,4,以内,yǐnèi,名
1868,4,意见,yìjiàn,名
1869,4,一生,yìshēng,名
1870,4,艺术,yìshù,名
1871,4,因此,yīncǐ,连
1872,4,引起,yǐnqǐ,动
1873,4,印象,yìnxiàng,名
1874,4,赢,yíng,动
1875,4,赢得,yíngdé,动
1876,4,应聘,yìngpìn,动
1877,4,勇敢,yǒnggǎn,形
1878,4,永远,yǒngyuǎn,副、名
1879,4,用来,yònglái,动
1880,4,用于,yòngyú,动
1881,4,优点,yōudiǎn,名
1882,4,幽默,yōumò,形
1883,4,优秀,yōuxiù,形
1884,4,由,yóu,介
1885,4,油,yóu,名
1886,4,尤其,yóuqí,副
1887,4,游玩,yóuwán,动
1888,4,由于,yóuyú,介、连
1889,4,友好,yǒuhǎo,形
1890,4,友情,yǒuqíng,名
1891,4,有趣,yǒuqù,形
1892,4,有效,yǒuxiào,动
1893,4,友谊,yǒuyì,名
1894,4,有着,yǒuzhe,动
1895,4,愉快,yúkuài,形
1896,4,于是,yúshì,连
1897,4,与,yǔ,介、连
1898,4,语法,yǔfǎ,名
1899,4,预习,yùxí,动
1900,4,原来,yuánlái,名、形、副
1901,4,原谅,yuánliàng,动
1902,4,原因,yuányīn,名
1903,4,远离,yuǎnlí,动
1904,4,院长,yuànzhǎng,名
1905,4,院子,yuànzi,名
1906,4,约,yuē,动、副
1907,4,约会,yuēhuì,动、名
1908,4,月饼,yuèbing,名
1909,4,阅读,yuèdú,动
1910,4,月份,yuèfèn,名
1911,4,云,yún,名
1912,4,允许,yǔnxǔ,动
1913,4,杂志,zázhì,名
1914,4,再次,zàicì,副
1915,4,再说,zàishuō,动、连
1916,4,暂时,zànshí,形
1917,4,暂停,zàntíng,动
1918,4,早餐,zǎocān,名
1919,4,早晨,zǎochen,名
1920,4,责任,zérèn,名
1921,4,增加,zēngjiā,动
1922,4,增长,zēngzhǎng,动
1923,4,招聘,zhāopìn,动
1924,4,着,zháo,动
1925,4,着火,zháohuǒ,动
1926,4,者,zhě,助
1927,4,真正,zhēnzhèng,形、副
1928,4,整,zhěng,形
1929,4,整个,zhěnggè,形
1930,4,整理,zhěnglǐ,动
1931,4,证,zhèng,名
1932,4,正常,zhèngcháng,形
1933,4,正好,zhènghǎo,形、副
1934,4,证件,zhèngjiàn,名
1935,4,证明,zhèngmíng,动、名
1936,4,正确,zhèngquè,形
1937,4,正式,zhèngshì,形
1938,4,之1,zhī,助
1939,4,支持,zhīchí,动
1940,4,支付,zhīfù,动
1941,4,之后,zhīhòu,名
1942,4,之间,zhījiān,名
1943,4,之前,zhīqián,名
1944,4,知识,zhīshi,名
1945,4,之中,zhīzhōng,名
1946,4,值,zhí,动、形
1947,4,值得,zhídé,动
1948,4,直接,zhíjiē,形
1949,4,植物,zhíwù,名
1950,4,职业,zhíyè,名
1951,4,指,zhǐ,动
1952,4,指出,zhǐchū,动
1953,4,只好,zhǐhǎo,动
1954,4,纸巾,zhǐjīn,名
1955,4,质量,zhìliàng,名
1956,4,至少,zhìshǎo,副
1957,4,中餐,zhōngcān,名
1958,4,中年,zhōngnián,名
1959,4,种,zhòng,动
1960,4,重,zhòng,名、形
1961,4,重点,zhòngdiǎn,名、副
1962,4,重视,zhòngshì,动
1963,4,周围,zhōuwéi,名
1964,4,主意,zhǔyì,名
1965,4,祝,zhù,动
1966,4,祝贺,zhùhè,动
1967,4,著名,zhùmíng,形
1968,4,专门,zhuānmén,副、形
1969,4,专业,zhuānyè,名、形
1970,4,转,zhuǎn,动
1971,4,转发,zhuǎnfā,动
1972,4,转机1,zhuǎnjī,动
1973,4,赚,zhuàn,动
1974,4,装,zhuāng,动
1975,4,准,zhǔn,形、（副）
1976,4,准确,zhǔnquè,形
1977,4,准时,zhǔnshí,形
1978,4,资料,zīliào,名
1979,4,仔细,zǐxì,形
1980,4,自,zì,介
1981,4,自然,zìrán,名、形、副
1982,4,自习,zìxí,动
1983,4,自信,zìxìn,动、名、形
1984,4,自学,zìxué,动
1985,4,总结,zǒngjié,动、名
1986,4,租,zū,动
1987,4,组,zǔ,名、（动、量）
1988,4,最终,zuìzhōng,名
1989,4,尊重,zūnzhòng,动、形
1990,4,左右,zuǒyòu,名、（动）
1991,4,座,zuò,名、量
1992,4,做法,zuòfǎ,名
1993,4,作家,zuòjiā,名
1994,4,做梦,zuòmèng,动
1995,4,作品,zuòpǐn,名
1996,4,作为1,zuòwéi,动、介
1997,4,座位,zuòwèi,名
1998,4,作文,zuòwén,动、名
1999,4,作用,zuòyòng,名、（动）
2000,4,作者,zuòzhě,名
